word,synonyms
courageous,"[""brave"", ""bold"", ""fearless"", ""hardy"", ""unafraid"", ""unflinching""]"
fluanil,"[""fluavil""]"
estovers,"[""bote""]"
centralist,"[""centralistic""]"
forefinger,"[""demonstrator"", ""index"", ""pointling"", ""teacher""]"
pelecypodous,"[""lamellibranch""]"
fetishist,"[""kinkster""]"
mistiming,"[""anachronism""]"
laddish,"[""blokeish""]"
cryptically,"[""enigmatically""]"
precariousness,"[""uncertainty""]"
creed,"[""credo""]"
chalcan,"[""chalca""]"
vendee,"[""buyer""]"
featherbrained,"[""airheaded"", ""dizzy"", ""giddy"", ""lightheaded"", ""silly""]"
judicially,"[""legally""]"
bullrush,"[""bulrush""]"
cromoglycate,"[""cromolyn""]"
psalmic,"[""psalmodic""]"
suer,"[""petitioner"", ""suitor""]"
plasticize,"[""plasticise"", ""plastify""]"
chaser,"[""pursuer""]"
trustingness,"[""trust""]"
disparagement,"[""belittlement"", ""depreciation"", ""derogation"", ""dispraise""]"
gripe,"[""accroach"", ""beef"", ""bellyache"", ""bitch"", ""complain"", ""crab"", ""distress"", ""grasp"", ""pressure"", ""whimper"", ""clasp"", ""compress"", ""pain"", ""pinch"", ""seize"", ""snatch"", ""squeeze"", ""straighten"", ""grouse"", ""holler"", ""kick"", ""pang"", ""squawk"", ""twinge""]"
1,"[""one"", ""ane"", ""arc"", ""i"", ""this""]"
sublunar,"[""cislunar"", ""sublunary""]"
baronage,"[""peerage""]"
disher,"[""waiter""]"
succeed,"[""follow"", ""win""]"
expose,"[""bare"", ""detect"", ""discover"", ""display"", ""exhibit"", ""bewray"", ""nake"", ""debunk"", ""disclose"", ""queer"", ""uncover"", ""unmasking""]"
depress,"[""deject"", ""demoralise"", ""demoralize"", ""downbear"", ""lower"", ""dismay"", ""dispirit"", ""weaken""]"
guyline,"[""guy""]"
mention,"[""add"", ""adduce"", ""advert"", ""cite"", ""citation"", ""notice"", ""note"", ""name"", ""refer"", ""reference""]"
journeyman,"[""craftsman""]"
eradicate,"[""annihilate"", ""destroy"", ""exterminate"", ""extirpate"", ""uproot"", ""eliminate""]"
voyeur,"[""peeper""]"
under,"[""below"", ""beneath"", ""sub"", ""underneath"", ""nether""]"
sandalled,"[""sandaled""]"
astrologer,"[""astrologist""]"
legitimately,"[""licitly""]"
dowel,"[""joggle""]"
truly,"[""genuinely"", ""rightfully"", ""unfeignedly"", ""veridically"", ""verily""]"
grecogenous,"[""grecogenic""]"
lavalier,"[""lavaliere""]"
zebron,"[""zebrawood""]"
vermin,"[""varmint"", ""insect""]"
wondrous,"[""fantastic"", ""marvellously""]"
odia,"[""oriya""]"
travail,"[""hardship"", ""labor"", ""labour"", ""suffering"", ""effort"", ""parturiency"", ""toil""]"
nonassessable,"[""unassessable""]"
soulular,"[""spiritual""]"
laminar,"[""laminal""]"
coincide,"[""agree"", ""concur"", ""cooccur""]"
redemptional,"[""redemptive""]"
empathize,"[""sympathize""]"
premonition,"[""vision"", ""forewarning"", ""foreboding"", ""presentiment""]"
palaeobiologic,"[""palaeobiological""]"
yaltopya,"[""ethiopia""]"
picross,"[""gridlers""]"
dixie,"[""billycan"", ""dixieland"", ""south"", ""confederacy""]"
flush,"[""bloom"", ""even"", ""wealthy"", ""blush"", ""bang"", ""flower"", ""sluice"", ""gush"", ""level"", ""outpouring"", ""purge"", ""scour""]"
ordination,"[""ordinance"", ""ordering""]"
threefold,"[""treble"", ""triple""]"
sordidness,"[""baseness"", ""squalidness"", ""squalor""]"
unthreatening,"[""unmenacing"", ""nonthreatening""]"
viewgraph,"[""overhead""]"
fagot,"[""fag"", ""faggot"", ""fairy"", ""nance"", ""pansy"", ""poof"", ""poove"", ""pouf"", ""queen"", ""queer""]"
censurable,"[""blameworthy""]"
triolein,"[""olein""]"
